Nazwa;Ludność;Powierzchnia
Powiat międzychodzki;35593;736
Powiat nowotomyski;75178;1012
Powiat obornicki;58812;711
Powiat ostrowski;158486;1160
Powiat ostrzeszowski;54566;773
Powiat pilski;130525;1266
Powiat pleszewski;61251;713
Powiat poznański;448663;1900
Powiat rawicki;58601;553
Powiat słupecki;57264;838
Powiat szamotulski;91659;1119
Powiat średzki;59954;623
Powiat śremski;61044;574
Powiat turecki;80990;930
Powiat wągrowiecki;69007;1040
Powiat wolsztyński;56672;680
Powiat wrzesiński;78223;704
Powiat złotowski;67301;1661
Powiat m. Kalisz;93137;69
Powiat m. Konin;67066;82
Powiat m. Leszno;60051;32
Powiat m. Poznań;538439;262
Powiat białogardzki;44373;845
Powiat choszczeński;44422;1328
Powiat drawski;53516;1764
Powiat goleniowski;81363;1615
Powiat gryficki;56435;1021
Powiat gryfiński;76959;1869
Powiat kamieński;44137;1008
Powiat kołobrzeski;76721;728
Powiat koszaliński;64450;1646
Powiat myśliborski;62224;1182
Powiat policki;85917;664
Powiat pyrzycki;36413;726
Powiat sławieński;52903;1043
Powiat stargardzki;119090;1520
Powiat szczecinecki;72717;1766
Powiat świdwiński;43237;1093
Powiat wałecki;50003;1415
Powiat łobeski;33394;1065
Powiat m. Koszalin;105540;106
Powiat m. Szczecin;389066;301
Powiat m. Świnoujście;38904;202
